Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
68.489998,69.43,67.459999,67.720001,67.720001,48227000,2014,Mar,384
68.18,68.949997,66.620003,68.739998,68.739998,52197000,2014,Mar,385
68.760002,69.599998,68.300003,69.190002,69.190002,40827000,2014,Mar,386
69.169998,69.290001,67.470001,68.239998,68.239998,43981000,2014,Mar,387
68.010002,68.230003,66.82,66.970001,66.970001,44439000,2014,Mar,388
67.529999,67.919998,66.18,67.239998,67.239998,59999900,2014,Mar,389
67.190002,67.360001,63.360001,64.099998,64.099998,85696000,2014,Mar,390
64.889999,66.190002,63.779999,64.889999,64.889999,68786000,2014,Mar,391
64.739998,64.949997,60.369999,60.389999,60.389999,97503900,2014,Mar,392
60.509998,61.900002,57.98,60.970001,60.970001,112650000,2014,Mar,393
61.34,61.950001,59.34,60.009998,60.009998,67052000,2014,Mar,394
60.779999,61.52,59.869999,60.240002,60.240002,53011000,2014,Mar,395
60.459999,62.66,60.240002,62.619999,62.619999,59291000,2014,Apr,396
63.209999,63.91,62.209999,62.720001,62.720001,66277000,2014,Apr,397
62.549999,63.169998,59.130001,59.490002,59.490002,83859000,2014,Apr,398
59.939999,60.200001,56.32,56.75,56.75,125214400,2014,Apr,399
55.900002,58,55.439999,56.950001,56.950001,108488000,2014,Apr,400
57.68,58.709999,57.169998,58.189999,58.189999,78836000,2014,Apr,401
59.630001,62.459999,59.189999,62.41,62.41,100215000,2014,Apr,402
63.080002,63.18,58.68,59.16,59.16,114988000,2014,Apr,403
57.599998,60.310001,57.310001,58.529999,58.529999,91452000,2014,Apr,404
60.09,60.450001,57.779999,58.889999,58.889999,72325000,2014,Apr,405
59.290001,59.68,55.880001,59.09,59.09,108623000,2014,Apr,406
59.790001,60.189999,57.740002,59.720001,59.720001,78774000,2014,Apr,407
59.299999,60.580002,58.720001,58.939999,58.939999,88040000,2014,Apr,408
59.459999,61.240002,59.150002,61.240002,61.240002,60364000,2014,Apr,409
62.650002,63.439999,62.220001,63.029999,63.029999,60631000,2014,Apr,410
63.450001,63.48,61.259998,61.360001,61.360001,95908700,2014,Apr,411
63.599998,63.650002,59.77,60.869999,60.869999,138769000,2014,Apr,412
59.970001,60.009998,57.57,57.709999,57.709999,92502000,2014,Apr,413
58.049999,58.310001,54.66,56.139999,56.139999,107758000,2014,Apr,414
56.09,58.279999,55.84,58.150002,58.150002,75557000,2014,Apr,415
57.580002,59.849998,57.16,59.779999,59.779999,76093000,2014,Apr,416
60.43,62.279999,60.209999,61.150002,61.150002,82429000,2014,May,417
61.299999,61.889999,60.18,60.459999,60.459999,54189000,2014,May,418
59.669998,61.349998,59.18,61.220001,61.220001,46057000,2014,May,419
60.98,61.150002,58.490002,58.529999,58.529999,55901000,2014,May,420
58.77,59.299999,56.259998,57.389999,57.389999,78587000,2014,May,421
57.23,58.82,56.5,56.759998,56.759998,61251000,2014,May,422
56.849998,57.650002,56.380001,57.240002,57.240002,52584000,2014,May,423
57.98,59.900002,57.98,59.830002,59.830002,48575000,2014,May,424
59.66,60.889999,59.509998,59.830002,59.830002,48525000,2014,May,425
59.529999,60.450001,58.950001,59.23,59.23,47429000,2014,May,426
59.259998,59.380001,57.52,57.919998,57.919998,56814000,2014,May,427
58.310001,58.450001,57.310001,58.02,58.02,47933000,2014,May,428
57.889999,59.560001,57.57,59.209999,59.209999,43034000,2014,May,429
59.5,60.189999,58.18,58.560001,58.560001,53931000,2014,May,430
58.560001,60.5,58.25,60.490002,60.490002,58992000,2014,May,431
60.939999,61.48,60.400002,60.52,60.52,54200000,2014,May,432
60.41,61.450001,60.150002,61.349998,61.349998,38294000,2014,May,433
61.619999,63.509998,61.57,63.48,63.48,55682000,2014,May,434
63.389999,64.139999,62.619999,63.509998,63.509998,47795000,2014,May,435
63.84,64.300003,63.509998,63.830002,63.830002,42700000,2014,May,436
63.950001,64.169998,62.560001,63.299999,63.299999,45253500,2014,May,437
63.23,63.59,62.049999,63.080002,63.080002,35996000,2014,Jun,438
62.619999,63.419998,62.32,62.869999,62.869999,32217000,2014,Jun,439
62.450001,63.59,62.07,63.34,63.34,36514000,2014,Jun,440
63.66,64.360001,62.82,63.189999,63.189999,47352000,2014,Jun,441
63.369999,63.48,62.150002,62.5,62.5,42442000,2014,Jun,442
62.400002,63.34,61.790001,62.880001,62.880001,37617000,2014,Jun,443
63.529999,65.82,63.5,65.769997,65.769997,69338000,2014,Jun,444
65.32,65.800003,64.900002,65.779999,65.779999,44242000,2014,Jun,445
65.849998,66.470001,64.059998,64.290001,64.290001,55730000,2014,Jun,446
64.699997,64.970001,63.830002,64.5,64.5,29419000,2014,Jun,447
64.160004,64.879997,63.75,64.190002,64.190002,31046000,2014,Jun,448
64.099998,64.879997,63.93,64.400002,64.400002,27715000,2014,Jun,449
64.489998,65.75,64.050003,65.599998,65.599998,35570000,2014,Jun,450
65.459999,65.580002,64.209999,64.339996,64.339996,34245000,2014,Jun,451
64.459999,64.809998,63.349998,64.5,64.5,46466000,2014,Jun,452
